#n_h: 3
#T/J: 0.2
0.00588699 0.0178467  0.0298659  0.03741618 0.03957079 0.03878769 0.03801726 0.03840652 0.03915143 0.03947479 0.03924543 0.03887854 0.03881937 0.0392463  0.03944102 0.03924488 0.03890339 0.03879743 0.03918939 0.03951937 0.03917045 0.03841437 0.03802875 0.03880588 0.03951638 0.03739242 0.02987709 0.01788633 0.00586436
0.00024    0.00029249 0.00030408 0.00028027 0.00038261 0.00026604 0.00031175 0.00030556 0.0002662  0.00034268 0.00031082 0.00022578 0.0003185  0.00024648 0.00038773 0.0003176  0.0003116  0.00025399 0.00029392 0.00032806 0.00026322 0.00027621 0.00026354 0.0002771 0.0003593  0.00034162 0.00031158 0.00022499 0.00017813

#n_h: 6
#T/J: 0.5
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
0.00815335 0.02274142 0.03359129 0.037691   0.03807093 0.03775516 0.03778719 0.03790939 0.03799232 0.0379849  0.03796151 0.03792613 0.03786511 0.03792564 0.03794128 0.03795623 0.03797856 0.03791862 0.03792394 0.03792641 0.03795651 0.03791886 0.03777583 0.0377944 0.03801001 0.0377195  0.033574   0.02276129 0.00811721
0.00021353 0.00018338 0.00013859 0.00016885 0.00017986 0.00017257 0.00015267 0.00015166 0.0001446  0.00016462 0.00013577 0.00017699 0.00016283 0.0001442  0.00020272 0.0001352  0.00017231 0.00018313 0.00018138 0.00019104 0.00017913 0.00019228 0.00014118 0.00018748 0.00016038 0.00016018 0.00014923 0.0001818  0.00015764

#n_h: 6
#T/J: 1.0
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
0.01197739 0.02867796 0.03583684 0.03688567 0.03685462 0.03681502 0.03679111 0.03685805 0.03680627 0.03680938 0.0368267  0.0367972 0.03681393 0.03685364 0.03685213 0.03681499 0.03681232 0.03680034 0.0368124  0.0367667  0.03681616 0.03680462 0.03682292 0.03683682 0.03686166 0.036878   0.0357901  0.02867889 0.01197972
0.00020482 0.00022614 0.00028552 0.00017228 0.00018002 0.00014622 0.00020331 0.00019223 0.00020845 0.00021566 0.0001816  0.00017897 0.000163   0.00018815 0.00023572 0.00017822 0.00017764 0.00017437 0.00014803 0.00017832 0.0001824  0.00018366 0.00017825 0.00018772 0.00020077 0.00019959 0.00024062 0.00025854 0.00020482

#n_h: 7
#T/J: 0.2
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
0.01035258 0.02981068 0.04641533 0.05337966 0.05312642 0.05198063 0.05263166 0.05374649 0.05391936 0.05331394 0.05322477 0.05368553 0.05392732 0.05364439 0.05327997 0.05372673 0.05395344 0.05368025 0.05322438 0.05327418 0.05390951 0.05377231 0.05262376 0.05199431 0.0531194  0.05342314 0.0464304  0.02978892 0.01034082
0.00020582 0.00028199 0.00028289 0.00027305 0.00023504 0.00032573 0.00029749 0.00032488 0.00039103 0.00031299 0.00022982 0.00036376 0.00032991 0.00028309 0.00029101 0.00029697 0.00026899 0.00032106 0.00023157 0.00026361 0.00034432 0.00030487 0.00032757 0.0003053 0.00023373 0.00025446 0.00029228 0.00026787 0.00024726

#n_h: 7
#T/J: 0.5
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
0.01287279 0.03470672 0.04892294 0.05260529 0.05223295 0.05209499 0.05240846 0.05254436 0.05252119 0.05246258 0.05251746 0.05251571 0.05253997 0.05250009 0.05247768 0.05250012 0.05254484 0.05253817 0.0524909  0.05244995 0.05252829 0.05258252 0.05238573 0.05207433 0.05221618 0.05261227 0.04892547 0.03471722 0.01283645
